kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 6.56, actual time = 6.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.42, actual time = 6.89).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.80, actual time = 8.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.12, actual time = 8.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.29, actual time = 7.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.73, actual time = 8.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.78, actual time = 6.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.89, actual time = 8.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.01, actual time = 10.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.91, actual time = 9.50).	[MsgId: MWAR-15995]
